query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
2076,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
2076,dense,1.000000,1.000000,1.000000,1.000000,1.000000
2076,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
2076,rrf_rerank,0.693426,1.000000,1.000000,1.000000,0.500000
2088,bm25,0.000000,0.000000,0.000000,0.500000,0.000000
2088,dense,0.000000,0.000000,0.000000,0.000000,0.000000
2088,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
2088,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
2108,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
2108,dense,0.135652,0.000000,0.333333,1.000000,0.100000
2108,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
2108,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
2118,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
2118,dense,0.000000,0.000000,0.000000,1.000000,0.000000
2118,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
2118,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
2154,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
2154,dense,0.000000,0.000000,0.000000,1.000000,0.000000
2154,rrf,0.289065,0.000000,1.000000,1.000000,0.100000
2154,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
2181,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
2181,dense,0.000000,0.000000,0.000000,0.000000,0.000000
2181,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
2181,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
2183,bm25,0.302602,0.166667,0.166667,0.333333,1.000000
2183,dense,0.735917,0.500000,0.666667,1.000000,1.000000
2183,rrf,0.453904,0.333333,0.333333,1.000000,1.000000
2183,rrf_rerank,0.286381,0.166667,0.333333,1.000000,0.500000
2204,bm25,0.721169,0.500000,0.625000,0.625000,1.000000
2204,dense,0.909900,0.625000,0.875000,1.000000,1.000000
2204,rrf,0.895051,0.625000,0.875000,1.000000,1.000000
2204,rrf_rerank,0.825586,0.625000,0.750000,1.000000,1.000000
2264,bm25,0.386853,0.500000,0.500000,0.500000,0.500000
2264,dense,0.613147,0.500000,0.500000,1.000000,1.000000
2264,rrf,0.613147,0.500000,0.500000,1.000000,1.000000
2264,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
2296,bm25,0.265820,0.222222,0.222222,0.333333,0.500000
2296,dense,0.313394,0.111111,0.222222,0.666667,1.000000
2296,rrf,0.352568,0.222222,0.222222,0.666667,1.000000
2296,rrf_rerank,0.426717,0.222222,0.333333,0.666667,1.000000
2306,bm25,0.613147,0.500000,0.500000,0.500000,1.000000
2306,dense,0.613147,0.500000,0.500000,0.500000,1.000000
2306,rrf,0.613147,0.500000,0.500000,0.500000,1.000000
